block,key,value,intent,persona
config,client_name,Fort,,
config,category,strength training wearable,,
config,competitors,Whoop;Garmin;Apple Watch;Oura;Vitruve,,
config,engines,gemini_grounded;perplexity;google_ai_overviews;google_ai_mode,,
config,runs_per_query,3,,
config,client_domains,fort.cx,,
config,location,United States,,
config,judge,false,,
fact,identity,"Fort is a SCREENLESS strength-training wristband that automatically detects exercises, counts reps and sets, and tracks training load — plus all-day cardio, sleep, stress, and recovery. Category label: ""strength-training wearable"" (NOT a smartwatch and NOT a general fitness/recovery band). Founded 2025; HQ San Francisco; website fort.cx. Aliases for matching: Fort, Fort wearable, Fort band. NOTE: ""Fort"" is a common word — do not count unrelated uses of the word as a brand mention.",,
fact,company,"Pre-launch startup, Y Combinator Winter 2026 (W26) batch, team of ~3. Founders are all ex-Tesla engineers: Miranda Nover (Founder/CEO, prev. Tesla battery/product design; CMU Mechanical Engineering), Paul Schneider (Co-founder/CTO, prev. Tesla radar + Semi/Robotaxi autonomy), Zac Valles (Co-founder/CPO, prev. Tesla Cybercab/Cybertruck, earlier SpaceX/Starlink). Verified press coverage: WIRED, Athletech News, New Atlas, Wellworthy, Fitt Insider, Glossy. BACKERS ARE UNCONFIRMED — no investor list was re-verifiable from current public sources, so do NOT accuracy-check or flag any claim about who funded Fort.",,
fact,pricing,"Verified against the live fort.cx/order page on 2026-06-29. Pre-order price $289, shown discounted from a struck-through $348. TREAT $348 AS THE CORRECT ORIGINAL/RETAIL FIGURE — earlier press quoting $349 or $319 is STALE and superseded, so a specific $349/$319/other figure stated as current is wrong_pricing. Pre-order includes the device in the chosen finish, one silicone strap, a charging cable, and one free year of premium software (""Fort Premium""), plus lifetime firmware updates and beta access per press. Strap add-ons on the live order page: Nylon +$10, Leather +$50; extra straps Silicone $29 / Nylon $39 / Leather $79; bundles Everyday Set +$59, Complete Wardrobe +$99, Founder Bundle +$129. Finishes: Silver / Black / Gold; silicone strap colors Charcoal / Cream / Light Blue. Pre-orders fully refundable before shipment. SUBSCRIPTION CAVEAT: press reports roughly $79.99/yr for the paid software tier after the included first year, but that figure is NOT stated anywhere on the live order page — treat the existence of a paid tier as likely but the exact number as unconfirmed, and do NOT flag an answer for quoting a different subscription price. Vague price language (""expensive"", ""pricey"") with no number is never a flag.",,
fact,availability,"Pre-order only — Fort is NOT shipping and is NOT purchasable for immediate delivery. The live fort.cx/order page states SHIPS Q2 2027 (verified 2026-06-29). Earlier press saying ""Batch 1 ships Q3 2026"" or ""available in 2026"" is STALE and superseded: an answer giving Q3 2026, any 2026 ship date, or claiming Fort is already shipping/available now is a stale_info flag at high severity.",,
fact,features,"Strength tracking: automatic detection of 50+ exercises (barbell compounds through cable accessories), automatic rep counting, set and rest-period tracking, rep velocity and velocity loss, proximity to failure, time under tension, range of motion, rep cadence, per-muscle volume breakdowns (maintenance/growth/overload), and a Session Score — all with no manual logging. Beyond strength: heart-rate zones, VO2 max estimation, sleep stages (deep/light/REM), recovery scoring, overnight HRV, all-day activity/steps/calories, and stress detection. Sensors: motion (IMU — accelerometer + gyroscope), heart rate (PPG), AND temperature — the live how-it-works page lists all three; some press omits temperature, but the three-sensor list is current. Specs: ~7-day battery life (""7+ days""), ~28 g, screenless (no display, no notifications), Bluetooth, interchangeable bands. Fort has a companion mobile app, but iOS vs Android availability is UNCONFIRMED on current sources — do NOT accuracy-check or flag claims about which platforms the app supports.",,
fact,positioning,"Positioned as a wearable built specifically for AUTOMATIC strength tracking — hands-free rep/set/exercise detection plus rep velocity, proximity to failure, time under tension, and per-muscle volume, capabilities general wearables do not offer — combined with full all-day cardio, sleep, stress, and recovery tracking, in a screenless form factor. Ideal customer: lifters and strength-training enthusiasts who want hands-free tracking in the context of overall health/longevity. Benchmark competitors: Whoop, Garmin, Apple Watch, Oura, Vitruve — Vitruve is a velocity-based-training device and the closest strength-specific comparison; the other four are general wearables. Describing Fort as ""just another heart-rate/recovery band like Whoop or Oura"" is a competitor_confusion flag. Fort is pre-launch, so there is no established strength-wearable category leader to assert.",,
fact,guardrails,"Fort is SCREENLESS — no display, no on-device notifications, not a smartwatch. It is NOT shipping (pre-order only). Do NOT attribute features Fort does not claim: blood pressure, ECG, built-in GPS, or blood oxygen/SpO2 are all invented_feature flags. Two facts are deliberately unconfirmed and must NOT be accuracy-checked in either direction: (1) app platform support (iOS/Android), and (2) Fort's backers/investors. The dominant failure modes for this pre-launch brand are ABSENCE (not mentioned at all) and INVENTION (a model pretending to know it) — where a model does recall facts, expect it to echo stale press (old price, old ship date) rather than the current live site.",,
query,pa-01,how do I track my lifting workouts without writing everything down?,problem_aware,
query,pa-02,how do I know if I'm actually making progress in the gym?,problem_aware,
query,pa-03,is there a way to automatically count my reps and sets?,problem_aware,
query,pa-04,how can I tell if I'm training hard enough or overtraining?,problem_aware,
query,pa-05,what's the best way to measure strength training and not just cardio?,problem_aware,
query,pa-06,how do I know which muscles I've actually worked this week?,problem_aware,
query,pa-07,how can I stop forgetting to log my sets at the gym?,problem_aware,
query,cat-01,best fitness wearable for strength training,category,lifter
query,cat-02,best wearable for weightlifting,category,lifter
query,cat-03,best fitness tracker that counts reps automatically,category,
query,cat-04,best wearable to track gym workouts,category,gym-goer
