block,key,value,intent,persona
config,client_name,Fort,,
config,category,strength training wearable,,
config,competitors,Whoop;Garmin;Apple Watch;Oura;Vitruve,,
config,engines,openai;anthropic;gemini;perplexity,,
config,runs_per_query,1,,
config,client_domains,fort.cx,,
config,judge,true,,
fact,identity,"Fort is a strength-training wearable: a lightweight wristband that automatically detects exercises, counts reps and sets, and tracks training load — plus all-day cardio, sleep, and stress. Category: strength-training wearable (NOT a screen smartwatch). Aliases: Fort, Fort wearable, Fort band.",,
fact,company,"Fort is a pre-launch startup; Y Combinator Winter 2026 (W26); HQ San Francisco. Founders are ex-Tesla engineers: Miranda Nover (Founder/CEO), Paul Schneider (Co-founder/CTO), Zac Valles (CPO). Backers: Afore Capital, Carnegie Mellon University, Weekend Fund, Theory Forge, Banana Capital, plus angels from OpenAI and Tesla.",,
fact,pricing,"As of 2026-06-13 (pre-order phase): $289 pre-order (discounted from $319), and the $289 includes the first year of the app subscription (normally $79.99/yr). Expected retail after launch: $319 device + $79.99/yr membership. A free tier is always available after the included first year. Pre-orders are fully refundable before shipment. (Note: some press quote $349 retail; fort.cx states $319 — treat $319 as correct.)",,
fact,availability,"Pre-order only; Batch 1 ships Q3 2026. Fort is NOT yet shipping as of 2026-06-13.",,
fact,features,"Strength tracking: automatic detection of 50+ exercises, automatic rep counting, set and rest-period tracking, bar/rep velocity, proximity to failure, time under tension, per-muscle volume breakdowns, session scores — no manual logging. Beyond strength: heart-rate zones, VO2 max estimation, sleep stages (deep/light/REM), recovery scoring, overnight HRV, all-day activity, real-time stress detection. Sensors: IMU (accelerometer + gyroscope) + PPG heart-rate sensor. Specs: 7-day battery life, Bluetooth Low Energy, interchangeable bands. Companion app on BOTH iOS and Android.",,
fact,positioning,"Positioned as the first/only wearable built specifically for automatic strength training — hands-free rep/set/exercise detection that general wearables don't offer — combined with full all-day cardio, sleep, and stress tracking.",,
fact,guardrails,"Fort is NOT a screen smartwatch: no screen, no notifications, no on-device display. It is NOT shipping yet (pre-order). Do NOT attribute features it does not claim (e.g., blood pressure, ECG, built-in GPS).",,
query,pa-03,is there a way to automatically count my reps and sets?,problem_aware,
query,pa-05,what's the best way to measure strength training and not just cardio?,problem_aware,
query,cat-01,best fitness wearable for strength training,category,lifter
query,cat-03,best fitness tracker that counts reps automatically,category,
query,cat-09,best strength training wearable 2026,category,
query,cmp-01,Fort vs Whoop for strength training,comparison,
query,cmp-05,best alternatives to Whoop for weightlifting,comparison,
query,cmp-10,best Whoop alternative that automatically tracks lifting,comparison,
query,brd-01,is the Fort wearable worth it?,brand,
query,brd-02,how much does the Fort strength wearable cost?,brand,
query,brd-06,does Fort automatically count reps?,brand,
query,adj-02,how many sets per muscle per week should I do to build muscle?,adjacent_authority,
